feature,importance
mean_roa,33488.338619828224
min_market_cap,17713.214351288974
cur_market_cap,16932.32709672302
industry_enc,12670.248432338238
trend_roe,12242.601890087128
max_pe_ratio,11786.193274497986
qoq_total_revenue,11160.141379415989
max_debt_to_assets_ratio,10945.02464029193
min_revenue_yoy_growth,9772.89899891615
min_pe_ratio,9685.332882463932
max_operating_cash_flow,9445.982409507036
max_revenue_yoy_growth,9143.652000248432
min_total_revenue,8475.464324474335
min_operating_cash_flow,7896.701292961836
qoq_roa,7858.730440557003
mean_net_profit_yoy_growth,7710.8306540846825
trend_revenue_yoy_growth,7691.483015179634
cur_debt_to_assets_ratio,7661.428922463208
qoq_revenue_yoy_growth,7641.087619967759
mean_revenue_yoy_growth,7612.571148112416
trend_market_cap,7576.901649381965
min_debt_to_assets_ratio,7550.217444777489
trend_debt_to_assets_ratio,7522.471094712615
cur_roe,7478.540534630418
cur_pe_ratio,7425.219374388456
trend_pe_ratio,7344.541253328323
max_net_profit_yoy_growth,7339.030230671167
mean_pe_ratio,7243.285613596439
qoq_roe,7212.138505496085
qoq_debt_to_assets_ratio,7067.6776415370405
std_market_cap,7043.768080720678
qoq_pe_ratio,7034.577800393105
cur_roa,6988.868708729744
std_net_profit_yoy_growth,6848.904027864337
trend_total_revenue,6836.755501717329
std_pb_ratio,6772.289705172181
mean_operating_cash_flow,6757.371219947934
std_revenue_yoy_growth,6721.881922960281
loss_ratio,6686.401982307434
cur_operating_cash_flow,6591.289300121367
std_operating_cash_flow,6587.0993429124355
trend_pb_ratio,6568.9856395199895
min_pb_ratio,6561.915025502443
mean_debt_to_assets_ratio,6556.027079999447
cur_total_revenue,6425.858706772327
mean_market_cap,6314.327537834644
qoq_market_cap,6235.009526789188
cur_net_profit_yoy_growth,6222.556103885174
trend_operating_cash_flow,6194.530316568911
std_pe_ratio,6142.872606635094
qoq_operating_cash_flow,6064.247180938721
qoq_net_profit_yoy_growth,5997.451786369085
mean_roe,5933.184934079647
num_quarters,5827.565191864967
min_net_profit_yoy_growth,5757.589122831821
cur_revenue_yoy_growth,5750.4702901709825
trend_net_profit_yoy_growth,5661.098223689944
trend_net_profit,5600.167968980968
max_net_profit,5576.8494291603565
min_roe,5426.61600586772
max_pb_ratio,5299.913646578789
cur_pb_ratio,5114.928569719195
min_net_profit,5038.124657034874
max_total_revenue,5004.777157902718
qoq_net_profit,4955.605829861015
qoq_pb_ratio,4865.699909240007
cur_net_profit,4628.117018729448
std_net_profit,4614.481205224991
max_roa,4519.929698988795
trend_roa,4459.983812510967
std_debt_to_assets_ratio,4453.006643116474
mean_net_profit,4447.168616741896
max_market_cap,4413.318211168051
mean_pb_ratio,4404.82651501894
mean_total_revenue,4310.6493764817715
std_total_revenue,4286.17982667312
std_roe,4223.2104429695755
std_roa,4105.241171330214
max_roe,3930.9456645175815
min_roa,3572.0209628790617
roe_decline_count,1641.663571357727
consec_loss,464.4522613286972
high_debt_ratio,399.972375869751
